sedol,bbcode,LOTSIZE,STATUS,CURNY,PRICECLOSE,beta,sector,sector name,group,group name,exchange_rate
6000305,358 HK Equity,1000,ACTV,HKD,14.72,1.215518,15,Materials,1510,Materials,0.12901
6002453,522 HK Equity,100,ACTV,HKD,81.6,0.4535633,45,Information Technology,4530,Semiconductors & Semiconductor,0.12901
6002828,259 HK Equity,2000,ACTV,HKD,1.41,0.4135624,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6002862,30 HK Equity,2000,SUSP,HKD,0.163,0.8430665,45,Information Technology,4510,Software & Services,0.12901
6002895,38 HK Equity,2000,ACTV,HKD,5.85,1.142981,20,Industrials,2010,Capital Goods,0.12901
6003401,178 HK Equity,2000,ACTV,HKD,6.14,0.7864176,25,Consumer Discretionary,2550,Retailing,0.12901
6003672,411 HK Equity,1000,ACTV,HKD,7.9,0.5290134,30,Consumer Staples,3020,Food Beverage & Tobacco,0.12901
6004954,HUAN SP Equity,1000,ACTV,SGD,0.02,#N/A N/A,45,Information Technology,4520,Technology Hardware & Equipmen,0.8002
6005504,177 HK Equity,2000,ACTV,HKD,9.24,0.8652686,20,Industrials,2030,Transportation,0.12901
6005838,ACM SP Equity,1000,ACTV,SGD,0.019,0.514532,20,Industrials,2010,Capital Goods,0.8002
6008321,900 HK Equity,2000,ACTV,HKD,6.36,0.5597116,40,Financials,4020,Diversified Financials,0.12901
6013693,1055 HK Equity,2000,ACTV,HKD,2.7,1.237025,20,Industrials,2030,Transportation,0.12901
6015213,176 HK Equity,2000,ACTV,HKD,0.58,0.1825154,20,Industrials,2010,Capital Goods,0.12901
6015644,347 HK Equity,2000,ACTV,HKD,5.77,1.210664,15,Materials,1510,Materials,0.12901
6018450,SML SP Equity,1000,ACTV,SGD,0.64,1.333318,40,Financials,4040,Real Estate,0.8002
6019356,1137 HK Equity,1000,ACTV,HKD,2.79,0.6632417,25,Consumer Discretionary,2540,Media,0.12901
6020455,684 HK Equity,2000,ACTV,HKD,2.28,0.3304106,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6030506,101 HK Equity,1000,ACTV,HKD,23.7,0.9401275,40,Financials,4040,Real Estate,0.12901
6032308,328 HK Equity,2000,ACTV,HKD,1.65,0.6889004,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6036203,1185 HK Equity,2000,ACTV,HKD,0.67,0.8074529,20,Industrials,2010,Capital Goods,0.12901
6038629,AMA SP Equity,1000,ACTV,SGD,0.565,0.8294035,25,Consumer Discretionary,2530,Consumer Services,0.8002
6038823,HIH SP Equity,1000,ACTV,SGD,0.15,0.3923447,40,Financials,4020,Diversified Financials,0.8002
6039558,321 HK Equity,2000,ACTV,HKD,7.57,0.5463772,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6039644,1045 HK Equity,500,ACTV,HKD,11.18,0.1439566,50,Telecommunication Services,5010,Telecommunication Services,0.12901
6042772,MSL SP Equity,1000,ACTV,SGD,0.015,0.3870648,15,Materials,1510,Materials,0.8002
6043214,STE SP Equity,1000,ACTV,SGD,3.8,1.015516,20,Industrials,2010,Capital Goods,0.8002
6044079,BBR SP Equity,1000,ACTV,SGD,0.29,0.6638141,20,Industrials,2010,Capital Goods,0.8002
6045180,995 HK Equity,2000,ACTV,HKD,4.46,0.7835569,20,Industrials,2030,Transportation,0.12901
6046611,519 HK Equity,5000,ACTV,HKD,0.375,0.4248612,40,Financials,4040,Real Estate,0.12901
6051637,1120 HK Equity,2000,ACTV,HKD,2.4,0.1390518,35,Health Care,3510,Health Care Equipment & Servic,0.12901
6052243,938 HK Equity,2000,ACTV,HKD,0.65,0.3125167,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6052544,348 HK Equity,2000,ACTV,HKD,1.2,0.267312,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6052607,1135 HK Equity,500,ACTV,HKD,27.15,0.3574246,50,Telecommunication Services,5010,Telecommunication Services,0.12901
6052618,161 HK Equity,2000,ACTV,HKD,3.31,0.6004579,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6054584,129 HK Equity,2000,ACTV,HKD,2.06,0.5515004,40,Financials,4040,Real Estate,0.12901
6055587,ASJ SP Equity,1000,SUSP,SGD,0.064,#N/A N/A,45,Information Technology,4520,Technology Hardware & Equipmen,0.8002
6055877,107 HK Equity,2000,ACTV,HKD,2.71,0.9242445,20,Industrials,2030,Transportation,0.12901
6056193,22 HK Equity,40000,ACTV,HKD,0.22,0.6766465,25,Consumer Discretionary,2530,Consumer Services,0.12901
6057259,271 HK Equity,1000,ACTV,HKD,0.81,0.8733219,40,Financials,4040,Real Estate,0.12901
